"id","Latitude","Longitude","Unique_Squirrel_ID","Date","Age","Shift","Primary_Fur_Color","Location","Specific_Location","Other_Activities","Running","Chasing","Climbing","Eating","Foraging","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"15182","40.793779699421000","-73.960222211670800","35C-AM-1007-05","2018-10-07","Adult","AM","Gray","Above Ground","","","False","False","True","False","False","False","False","False","False","False","False","False","False"
"15183","40.779249873647000","-73.968063507094900","17E-AM-1017-05","2018-10-17","Adult","AM","Black","Above Ground","Branch","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15184","40.768690533921200","-73.980166643540100","2B-PM-1013-01","2018-10-13","Adult","PM","Gray","Ground Plane","","running (with nut)","True","False","False","False","False","False","False","False","False","False","False","False","False"
"15185","40.781347735250700","-73.967563432687700","19D-AM-1007-01","2018-10-07","Juvenile","AM","Gray","Ground Plane","","","False","False","True","True","False","False","False","False","False","False","False","False","False"
"15186","40.798288634869600","-73.958497064321300","40B-AM-1019-03","2018-10-19","Juvenile","AM","Gray","Ground Plane","","","True","True","False","False","False","False","False","False","False","True","True","False","False"
"15187","40.768195436691100","-73.976029824117800","3E-PM-1008-07","2018-10-08","Adult","PM","Gray","Ground Plane","","","False","False","False","True","True","False","False","False","False","False","False","True","False"
"15188","40.797239913381600","-73.956880214981800","39C-PM-1006-01","2018-10-06","Adult","PM","Gray","Ground Plane","","","True","False","False","False","True","False","False","False","False","False","False","True","False"
"15189","40.769052644110900","-73.972464243639400","6G-AM-1008-02","2018-10-08","Juvenile","AM","Gray","Ground Plane","bush","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15190","40.776043272001700","-73.969017583853400","14F-AM-1007-05","2018-10-07","Juvenile","AM","Gray","Ground Plane","","","False","False","False","True","False","False","False","False","False","False","False","True","False"
"15191","40.769028098595600","-73.970408282135600","6I-PM-1013-06","2018-10-13","Adult","PM","Gray","Ground Plane","","playing with #5","False","False","False","False","False","False","False","False","False","True","False","False","False"
"15192","40.776881164002100","-73.968491071227200","15F-PM-1010-05","2018-10-10","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15193","40.773523264887200","-73.976867481294200","8B-PM-1012-02","2018-10-12","Adult","PM","Gray","Ground Plane","hiding in bushes","","False","False","False","False","True","False","False","False","False","False","False","False","True"
"15194","40.769888524134900","-73.979708486661300","3A-PM-1017-06","2018-10-17","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","False","True"
"15195","40.792313040279300","-73.952819267977000","36I-AM-1017-02","2018-10-17","Adult","AM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15196","40.769260262874500","-73.974563003849200","5E-AM-1008-06","2018-10-08","Adult","AM","Cinnamon","Ground Plane","","","True","False","False","False","False","False","False","False","False","False","True","False","False"
"15197","40.790336578869400","-73.959500233950800","32E-PM-1017-13","2018-10-17","Adult","PM","Gray","","","","False","False","False","True","True","False","False","False","False","False","False","True","False"
"15198","40.768948665796300","-73.974182499229400","5F-PM-1007-03","2018-10-07","Adult","PM","Gray","Ground Plane","","hiding nut","False","False","False","False","False","False","False","False","False","True","False","True","False"
"15199","40.776139355178100","-73.974924390118900","11B-PM-1014-05","2018-10-14","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15200","40.778014344377900","-73.968381325559000","16E-PM-1018-06","2018-10-18","Adult","PM","Cinnamon","Ground Plane","On a rock","","False","False","False","False","True","False","False","False","False","True","False","True","False"
"15201","40.775589812667400","-73.969424032750900","13F-AM-1007-02","2018-10-07","Adult","AM","Cinnamon","","","","False","False","False","True","True","False","False","False","False","False","False","True","False"
"15202","40.782836473523600","-73.968900097895500","20B-PM-1013-10","2018-10-13","Adult","PM","Gray","Ground Plane","","drank from a pond of rain water","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15203","40.769675365598600","-73.980452886754700","3A-PM-1017-05","2018-10-17","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","False","False"
"15204","40.787386251000100","-73.957624599245500","29H-PM-1006-01","2018-10-06","Adult","PM","Gray","Above Ground","","sitting","False","False","True","False","False","False","False","False","False","False","False","True","False"
"15205","40.784509813156700","-73.966600793563800","23C-PM-1014-03","2018-10-14","Adult","PM","Gray","Above Ground","","chasing (#4 across trees)","False","True","False","False","False","False","False","False","False","False","False","False","False"
"15206","40.792264552190500","-73.961484836090000","33C-PM-1007-03","2018-10-07","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","True","False","True","False"
"15207","40.794763924149100","-73.954665418414600","38G-PM-1020-09","2018-10-20","Adult","PM","Gray","Ground Plane","","","False","False","False","True","True","False","False","False","True","False","False","True","False"
"15208","40.776880470247300","-73.966711402721400","16G-PM-1017-01","2018-10-17","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15209","40.792182245761300","-73.953003556464300","36I-PM-1007-07","2018-10-07","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15210","40.795127862239900","-73.961569657767300","35A-AM-1014-03","2018-10-14","Adult","AM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15211","40.788384010474900","-73.964474836001000","28C-PM-1006-01","2018-10-06","Adult","PM","Gray","Ground Plane","","gathering acorns","False","False","False","False","False","False","False","False","True","False","False","False","True"
"15212","40.791482966105100","-73.961070559286800","32D-AM-1013-06","2018-10-13","Adult","AM","Cinnamon","Ground Plane","","eating (a mushroom),circles around us,really fat,scratching himself,grooming activity","True","False","False","True","True","False","False","False","False","True","True","False","False"
"15213","40.784530128816300","-73.968845448358500","22A-AM-1008-05","2018-10-08","Adult","AM","Gray","Above Ground","trash can","","False","False","False","True","False","False","False","False","True","False","False","False","True"
